@relation Fortnite_players_stats_no_name-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'Solo score' numeric
@attribute 'Solo top1' numeric
@attribute 'Solo kd' numeric
@attribute 'Solo winRatio' numeric
@attribute 'Solo matches' numeric
@attribute 'Solo kills' numeric
@attribute 'Solo minutesPlayed' numeric
@attribute 'Duos score' numeric
@attribute 'Duos top1' numeric
@attribute 'Duos kd' numeric
@attribute 'Duos winRatio' numeric
@attribute 'Duos matches' numeric
@attribute 'Duos kills' numeric
@attribute 'Duos minutesPlayed' numeric
@attribute 'Trios score' numeric
@attribute 'Trios top1' numeric
@attribute 'Trios kd' numeric
@attribute 'Trios winRatio' numeric
@attribute 'Trios matches' numeric
@attribute 'Trios kills' numeric
@attribute 'Trios minutesPlayed' numeric
@attribute 'Squads score' numeric
@attribute 'Squads top1' numeric
@attribute 'Squads kd' numeric
@attribute 'Squads winRatio' numeric
@attribute 'Squads matches' numeric
@attribute 'Squads kills' numeric
@attribute 'Squads minutesPlayed' numeric
@attribute 'LTM score' numeric
@attribute 'LTM top1' numeric
@attribute 'LTM top3' numeric
@attribute 'LTM kd' numeric
@attribute 'LTM winRatio' numeric
@attribute 'LTM matches' numeric
@attribute 'LTM kills' numeric
@attribute 'LTM minutesPlayed' numeric

@data
0.365312,0.282099,0.45063,0.408163,0.277587,0.407888,0.286219,0.730358,0.735317,0.765,0.813167,0.265609,0.496316,0.493431,0.207019,0.266667,0.276278,0.397452,0.121565,0.223706,0.1628,0.690078,1,0.671875,0.806616,0.560007,0.645947,0.784152,0.026045,0.119048,0.071559,0.348403,0.419405,0.078475,0.068364,2865
0.064292,0.26142,0.906513,0.659864,0.158735,0.403023,0.04415,0.631409,0.545299,0.677857,0.382562,0.418184,1,0.441591,0.004451,0.004372,0.334857,0.242038,0.00326,0.008551,0.003278,1,0.973026,1,0.770992,0.570491,1,1,0.038804,0.160364,0.115221,0.494274,0.28482,0.155836,0.215187,4206
0.667145,0.707099,1,0.770975,0.369147,0.9602,0.430008,0.176583,0.183039,0.555714,0.437722,0.122659,0.231096,0.117076,0.685466,0.782514,0.197341,0.336306,0.420897,0.591536,0.580157,0.520445,0.866888,0.820313,0.83715,0.46846,0.648316,0.576207,0.115916,0.826331,0.496058,0.670283,0.514867,0.443495,0.681247,12273
0.110587,0.018673,0.079832,0.07483,0.10031,0.033451,0.113682,0.827242,0.296155,0.072857,0.163701,0.529264,0.156966,0.824626,0.423913,0.228415,0.047362,0.109554,0.375873,0.157668,0.433969,0.33771,0.065676,0.084961,0.104326,0.285784,0.058742,0.531883,0.448245,0.133053,0.149181,0.140446,0.084507,0.438049,0.198491,33224
0.167241,0.204784,0.655462,0.680272,0.120663,0.219821,0.127052,0.573476,0.756255,0.795,0.900356,0.246274,0.434452,0.346105,0.486571,0.983607,1,1,0.177923,0.369515,0.281368,0.529918,0.673378,0.740234,0.92112,0.330637,0.392646,0.541243,0.142728,0.577031,0.363857,0.903556,0.834116,0.19136,0.275955,12019
0.430663,0.20216,0.330882,0.219955,0.367776,0.439384,0.340474,0.20161,0.16355,0.299286,0.275801,0.173887,0.197705,0.139421,0.824711,0.621858,0.117574,0.159236,0.705636,0.702391,0.730984,0.501314,0.280102,0.310547,0.256997,0.491304,0.345249,0.594739,0.075623,0.128852,0.112189,0.289934,0.183099,0.193836,0.169611,8296
0.352424,0.224383,0.394958,0.176871,0.511287,0.743109,0.268129,0.389484,0.254806,0.31,0.170819,0.439844,0.554197,0.304584,0.897123,0.526776,0.126298,0.113376,0.84521,0.94295,0.783118,0.352978,0.239249,0.325195,0.231552,0.46669,0.347149,0.463264,0.098192,0.191877,0.157065,0.270645,0.115806,0.460205,0.393745,12634
0.001687,0.000926,0.040966,0.031746,0.010944,0.001933,0.001865,1,0.71754,0.251429,0.352313,0.599044,0.542929,0.802569,0.157344,0.130055,0.058579,0.173248,0.136004,0.06685,0.142022,0.147978,0.070172,0.174805,0.21883,0.144732,0.057983,0.199496,0.094986,0.129552,0.161916,0.16094,0.128326,0.280109,0.14124,12625
1,1,0.137605,0.739229,0.544038,0.208798,1,0.018379,0.008559,0.048571,0.051601,0.048664,0.010368,0.01864,0.006075,0.005464,0.074366,0.193631,0.005123,0.003121,0.005796,0.080967,0.033815,0.0625,0.208651,0.073112,0.010552,0.129082,0.212116,0.082633,0.070346,0.121157,0.059468,0.379626,0.151334,19174
0.007392,0.001389,0.055672,0.011338,0.052336,0.012877,0.007866,0.9122,0.164604,0.065,0.060498,0.798892,0.225577,1,0.104507,0.053552,0.041545,0.09172,0.106195,0.039698,0.106723,0.211835,0.034206,0.06543,0.043257,0.350634,0.057063,0.339393,0.112895,0.067927,0.120679,0.065702,0.050078,0.377274,0.081696,17273
0.030137,0.015895,0.429622,0.276644,0.022328,0.03444,0.022745,0.690429,0.555175,0.547143,0.635231,0.256398,0.405456,0.503875,0.300798,0.398907,0.270877,0.410191,0.175904,0.312652,0.232908,0.357869,0.324668,0.904297,0.959288,0.15289,0.216549,0.365351,0.018988,0.030812,0.031534,0.385172,0.28795,0.029583,0.031761,1925
0.714614,0.662809,0.342437,0.693878,0.384425,0.366122,0.602214,0.128628,0.08217,0.102143,0.177936,0.13539,0.056052,0.120943,0.053759,0.059016,0.101786,0.249682,0.04285,0.033893,0.047209,0.14409,0.072518,0.137695,0.188295,0.174414,0.0561,0.19828,0.264997,0.254202,0.285021,0.272453,0.131455,0.536948,0.457546,34926
0.24545,0.082562,0.233193,0.113379,0.289821,0.259936,0.196626,0.33212,0.190809,0.191429,0.209964,0.267217,0.202916,0.262309,0.152133,0.063388,0.084337,0.073885,0.156187,0.119968,0.141563,0.445286,0.180219,0.198242,0.165394,0.491095,0.228848,0.558658,0.083216,0.106443,0.101273,0.167571,0.101721,0.290878,0.155515,10619
0.070013,0.003858,0.065126,0.022676,0.069973,0.019743,0.075695,0.714677,0.304319,0.106429,0.19573,0.455399,0.194279,0.702185,0.411573,0.293989,0.117158,0.164331,0.324484,0.32008,0.387505,0.127828,0.021892,0.091797,0.089059,0.111821,0.024973,0.205851,0.039325,0.018207,0.020012,0.08921,0.059468,0.085778,0.025159,3844
0.687844,0.48858,0.401261,0.442177,0.445539,0.57374,0.574664,0.079404,0.072031,0.241429,0.197509,0.1073,0.103523,0.067218,0.098176,0.051366,0.080183,0.11465,0.080888,0.05705,0.109637,0.183645,0.140344,0.28125,0.246819,0.25808,0.164881,0.245162,0.057834,0.113445,0.06792,0.267631,0.183099,0.171803,0.13887,6943
0.36421,0.094444,0.140756,0.102041,0.368489,0.205326,0.374847,0.312506,0.17527,0.122143,0.181495,0.282968,0.139294,0.277998,0.204891,0.122404,0.051101,0.112102,0.198572,0.08957,0.218941,0.262921,0.117866,0.140625,0.160305,0.334005,0.110657,0.378552,0.042328,0.062325,0.061249,0.104882,0.084507,0.205347,0.069639,6303
0.080804,0.009568,0.158613,0.056689,0.068492,0.043845,0.076876,0.626026,0.219647,0.165,0.172598,0.374321,0.250597,0.583729,0.223065,0.146448,0.113004,0.143949,0.184599,0.179327,0.20331,0.235453,0.059617,0.196289,0.139949,0.191946,0.089417,0.330539,0.031652,0.012605,0.01698,0.283906,0.065728,0.053472,0.04968,3610
0.634728,0.088889,0.125,0.040816,0.901555,0.459734,0.618539,0.155496,0.035028,0.110714,0.08363,0.12405,0.058794,0.152319,0.071414,0.039344,0.088907,0.096815,0.073125,0.058174,0.066213,0.121774,0.020328,0.147461,0.068702,0.135011,0.04865,0.176563,0.001407,0.0007,0.000606,0.084991,0.020344,0.009283,0.002651,107
